EmployeeID,HireDate,TerminationDate,Department,Designation,Location,AbsentDays,PerformanceRating,Salary,ProductivityScore,Date,CollaborativeTasks,TotalTasks,TeamID,ErrorCount,TaskComplexity,TaskID,EngagementScore,PlannedTasks,AvailableCapacity,EstimatedEffort,ActualEffort,ProjectID,ReworkCount,OnTimeDeliveries,TotalDeliveries,CompletedTasks
EMP001,15-08-2022,,Marketing,Marketing Manager,Ahmedabad,2,Exceeds Expectations,75000,92,15-05-2025,3,5,TMMKTG,1,High,TASK001,4.5,8,10,40,42,PROJ001,0,10,10,45
EMP002,20-01-2023,,Sales,Sales Executive,Mumbai,5,Meets Expectations,45000,78,15-05-2025,2,4,TMSALE,2,Medium,TASK002,3.8,7,9,30,35,PROJ002,1,8,10,38
EMP003,10-05-2021,30-11-2024,Finance,Accountant,Ahmedabad,0,Outstanding,60000,95,15-05-2025,4,4,TMFIN,0,Medium,TASK003,4.7,9,9,35,33,PROJ003,0,10,10,42
EMP004,01-07-2023,,HR,HR Specialist,Bangalore,1,Meets Expectations,55000,85,15-05-2025,3,5,TMHR,1,Medium,TASK004,4,8,10,25,28,PROJ004,0,9,10,35
EMP005,22-11-2020,,Technology,Software Engineer,Bangalore,3,Needs Improvement,80000,65,15-05-2025,1,5,TMTECH,3,High,TASK005,3.2,6,8,50,60,PROJ005,2,6,10,30
EMP006,05-03-2024,,Marketing,Marketing Coordinator,Mumbai,0,Outstanding,50000,90,15-05-2025,4,5,TMMKTG,0,Low,TASK006,4.3,8,10,20,18,PROJ006,0,10,10,40
EMP007,12-04-2022,,Sales,Sales Manager,Ahmedabad,4,Exceeds Expectations,90000,88,15-05-2025,3,4,TMSALE,1,High,TASK007,4.2,7,9,45,48,PROJ007,1,9,10,40
EMP008,18-09-2023,,Finance,Finance Analyst,Mumbai,1,Meets Expectations,65000,82,15-05-2025,2,4,TMFIN,1,Medium,TASK008,3.9,7,9,32,30,PROJ008,0,9,10,37
EMP009,01-12-2021,,HR,HR Manager,Ahmedabad,2,Outstanding,85000,93,15-05-2025,4,5,TMHR,0,High,TASK009,4.6,9,10,30,29,PROJ009,0,10,10,48
EMP010,10-01-2024,,Technology,Senior Software Engineer,Bangalore,0,Exceeds Expectations,110000,96,15-05-2025,5,5,TMTECH,0,High,TASK010,4.8,10,10,55,52,PROJ010,0,10,10,50
EMP011,25-06-2022,,Marketing,Digital Marketing Specialist,Bangalore,1,Meets Expectations,60000,80,15-05-2025,2,4,TMMKTG,1,Medium,TASK011,3.9,7,9,28,30,PROJ011,0,8,10,35
EMP012,01-03-2023,,Sales,Business Development Rep,Mumbai,3,Needs Improvement,40000,68,15-05-2025,1,4,TMSALE,2,Medium,TASK012,3.5,6,8,25,28,PROJ012,1,7,10,32
EMP013,08-08-2020,15-04-2025,Finance,Senior Accountant,Ahmedabad,0,Outstanding,70000,94,15-05-2025,4,4,TMFIN,0,Medium,TASK013,4.6,9,9,38,36,PROJ013,0,10,10,45
EMP014,05-11-2023,,HR,Recruiter,Bangalore,2,Meets Expectations,50000,83,15-05-2025,2,4,TMHR,1,Low,TASK014,4.1,7,9,22,25,PROJ014,0,9,10,36
EMP015,01-05-2024,,Technology,QA Engineer,Mumbai,1,Exceeds Expectations,75000,90,15-05-2025,3,5,TMTECH,0,Medium,TASK015,4.4,8,10,35,33,PROJ015,0,10,10,40
EMP016,20-09-2022,,Marketing,Content Writer,Ahmedabad,0,Outstanding,55000,91,15-05-2025,3,5,TMMKTG,0,Low,TASK016,4.5,8,10,25,23,PROJ016,0,10,10,42
EMP017,15-05-2023,,Sales,Account Manager,Bangalore,4,Meets Expectations,70000,80,15-05-2025,2,4,TMSALE,1,High,TASK017,3.8,7,9,40,45,PROJ017,1,8,10,37
EMP018,10-02-2021,,Finance,Payroll Specialist,Mumbai,0,Exceeds Expectations,68000,93,15-05-2025,4,4,TMFIN,0,Medium,TASK018,4.6,9,9,30,28,PROJ018,0,10,10,43
EMP019,22-02-2024,,HR,HR Generalist,Ahmedabad,1,Meets Expectations,62000,84,15-05-2025,2,4,TMHR,1,Low,TASK019,4.1,7,9,28,30,PROJ019,0,9,10,38
EMP020,01-08-2023,,Technology,UI/UX Designer,Bangalore,2,Outstanding,95000,95,15-05-2025,4,5,TMTECH,0,High,TASK020,4.7,9,10,45,43,PROJ020,0,10,10,47
EMP021,18-11-2022,,Marketing,SEO Specialist,Mumbai,0,Exceeds Expectations,65000,89,15-05-2025,3,5,TMMKTG,0,Medium,TASK021,4.3,8,10,32,30,PROJ021,0,10,10,41
EMP022,10-04-2024,,Sales,Sales Associate,Ahmedabad,3,Needs Improvement,35000,67,15-05-2025,1,4,TMSALE,2,Low,TASK022,3.4,6,8,20,25,PROJ022,1,7,10,30
EMP023,01-07-2021,,Finance,Internal Auditor,Bangalore,1,Meets Expectations,72000,86,15-05-2025,2,4,TMFIN,1,Medium,TASK023,4,7,9,38,40,PROJ023,0,9,10,39
EMP024,05-06-2023,,HR,Training Coordinator,Mumbai,0,Outstanding,58000,90,15-05-2025,3,5,TMHR,0,Low,TASK024,4.4,8,10,25,24,PROJ024,0,10,10,43
EMP025,15-05-2024,,Technology,Database Administrator,Ahmedabad,2,Exceeds Expectations,90000,93,15-05-2025,4,5,TMTECH,0,High,TASK025,4.6,9,10,50,48,PROJ025,0,10,10,48
EMP026,05-01-2022,,Marketing,Email Marketing Specialist,Bangalore,1,Meets Expectations,52000,82,15-05-2025,2,4,TMMKTG,1,Medium,TASK026,4,7,9,28,30,PROJ026,0,8,10,37
EMP027,01-10-2023,,Sales,Sales Development Rep,Mumbai,4,Needs Improvement,38000,69,15-05-2025,1,4,TMSALE,2,Low,TASK027,3.5,6,8,22,25,PROJ027,1,7,10,31
EMP028,12-09-2021,,Finance,Budget Analyst,Ahmedabad,0,Outstanding,78000,94,15-05-2025,4,4,TMFIN,0,Medium,TASK028,4.7,9,9,38,36,PROJ028,0,10,10,44
EMP029,15-03-2024,,HR,Compensation Analyst,Bangalore,1,Meets Expectations,66000,85,15-05-2025,2,4,TMHR,1,Medium,TASK029,4.2,7,9,30,32,PROJ029,0,9,10,39
EMP030,01-12-2023,,Technology,Mobile App Developer,Mumbai,2,Exceeds Expectations,100000,96,15-05-2025,5,5,TMTECH,0,High,TASK030,4.8,10,10,55,53,PROJ030,0,10,10,49
